"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"93",665120,"Jared Walsh","93","100.0","0.176","0.000","0.250","0.176","0.294","0.301","0.168","3","17","86.0","-9.0","2089","87.3","86.78","8","35","58","-0.5","5.81","117","148","117","147","291","313","288"
"91",501992,"Nate Karns","91","100.0","0.333","0.048","0.438","0.381","0.371","0.314","0.261","7","21","85.2","-8.0","2279","87.6","87.97","10","40","50","0.4","6.54","106","155","117","146","304","334","296"
"88",642003,"Cody Reed","88","100.0","0.250","0.000","0.353","0.250","0.218","0.205","0.221","6","24","88.4","-5.0","2078","91.9","91.77","9","41","47","-0.1","6.16","115","153","119","146","289","316","282"
"88",643603,"Tyler White","88","100.0","0.438","0.938","0.273","1.375","0.688","0.453","0.270","7","16","92.7","26.9","1733","74.6","73.29","3","27","61","-1.3","5.46","117","148","128","149","289","322","298"
"88",575070,"Enderson Franco","88","100.0","0.211","0.211","0.214","0.421","0.283","0.209","0.154","4","19","82.0","25.7","1936","91.6","90.62","12","51","37","-1.0","5.68","114","153","126","150","291","321","300"
"86",518468,"Michael Blazek","86","100.0","0.286","0.190","0.250","0.476","0.391","0.428","0.287","6","21","91.0","28.4","2335","92.9","92.63","4","32","54","-0.3","6.09","117","150","119","148","303","312","290"
"85",658648,"Pedro Avila","85","100.0","0.200","0.000","0.267","0.200","0.243","0.242","0.186","4","20","79.1","13.0","2075","83.7","83.05","8","36","47","-0.7","5.76","106","148","107","149","302","326","305"
"82",656756,"Jordan Montgomery","82","100.0","0.368","0.316","0.462","0.684","0.438","0.417","0.359","7","19","92.2","13.6","2151","86.7","85.90","11","38","44","-0.8","5.87","106","151","121","147","303","315","290"
"80",656814,"Luis Ortiz","80","100.0","0.308","0.538","0.250","0.846","0.530","0.515","0.315","4","13","95.9","17.9","2263","89.9","88.79","5","32","48","-1.1","5.61","111","151","112","147","309","320","301"
"80",592254,"Jose De Leon","80","100.0","0.188","0.000","0.333","0.188","0.272","0.276","0.171","3","16","85.9","8.9","1957","87.6","87.80","18","40","38","0.2","6.42","109","149","115","143","287","321","297"
"78",503285,"Darren O'Day","78","100.0","0.158","0.158","0.231","0.316","0.244","0.324","0.263","3","19","85.5","26.9","2295","83.2","83.88","14","40","37","0.7","6.55","115","153","113","151","305","327","301"
"78",621058,"Andrew Moore","78","100.0","0.316","0.421","0.267","0.737","0.445","0.354","0.280","6","19","95.4","26.0","2086","85.6","85.65","4","32","46","0.0","6.18","110","152","110","150","284","322","287"
"77",605521,"Art Warren","77","100.0","0.105","0.000","0.143","0.105","0.149","0.304","0.265","2","19","89.9","17.0","2417","89.6","89.42","10","37","40","-0.2","6.15","107","154","116","147","306","324","295"
"77",622774,"Jose Manuel Fernandez","77","100.0","0.375","0.313","0.357","0.688","0.480","0.373","0.242","6","16","90.0","27.9","2107","89.1","87.64","5","31","44","-1.5","5.47","110","148","112","148","292","332","298"
"73",543343,"Danny Hultzen","73","100.0","0.267","0.000","0.400","0.267","0.311","0.349","0.286","4","15","85.9","2.1","2219","88.1","88.20","10","34","38","0.1","6.31","111","150","110","147","294","318","294"
"72",488984,"Tommy Hunter","72","100.0","0.111","0.000","0.154","0.111","0.097","0.189","0.202","2","18","81.6","18.2","2644","91.5","91.32","9","32","40","-0.2","6.11","110","152","119","150","300","324","290"
"71",621052,"Alex Reyes","71","100.0","0.200","0.300","0.111","0.500","0.412","0.465","0.289","2","10","90.2","21.3","2259","92.2","91.61","4","25","46","-0.6","6.02","106","143","110","144","302","325","296"
"70",545332,"Jake Barrett","70","100.0","0.353","0.471","0.364","0.824","0.505","0.399","0.262","6","17","90.4","31.6","2060","89.0","88.23","8","28","42","-0.8","5.85","109","156","117","149","301","324","294"
"70",571974,"John Ryan Murphy","70","100.0","0.526","0.632","0.438","1.158","0.690","0.578","0.433","10","19","88.5","30.5","1557","61.5","58.87","3","33","37","-2.6","3.88","119","154","132","154","299","326","302"
"70",571948,"Hoby Milner","70","100.0","0.267","0.200","0.333","0.467","0.352","0.286","0.239","4","15","82.8","21.0","1957","83.9","83.83","4","28","41","-0.1","6.38","108","160","112","150","284","315","289"
"69",502304,"David Carpenter","69","100.0","0.267","0.133","0.308","0.400","0.367","0.492","0.423","4","15","98.2","3.1","2138","89.7","89.70","5","32","37","0.0","6.18","109","148","115","148","295","325","304"
"68",644364,"Victor Arano","68","100.0","0.154","0.231","0.167","0.385","0.266","0.295","0.213","2","13","92.9","15.6","2451","88.1","87.57","19","37","31","-0.5","5.80","110","152","117","150","304","322","291"
"68",527055,"Arodys Vizcaino","68","100.0","0.214","0.357","0.286","0.571","0.384","0.400","0.257","3","14","88.2","21.5","2521","89.9","87.98","9","32","36","-1.9","5.28","115","156","117","151","299","324","298"
"68",502578,"Aaron Barrett","68","100.0","0.417","0.250","0.400","0.667","0.516","0.350","0.241","5","12","87.0","29.8","2063","89.0","87.92","3","20","47","-1.1","5.47","103","142","113","144","292","310","291"
"68",543219,"Sean Gilmartin","68","100.0","0.500","0.500","0.455","1.000","0.631","0.496","0.354","7","14","85.4","23.4","1915","82.3","81.42","7","26","42","-0.9","5.66","102","149","113","147","301","322","307"
"66",517593,"Danny Salazar","66","100.0","0.286","0.500","0.200","0.786","0.480","0.518","0.354","4","14","87.5","13.2","1742","81.3","80.49","3","23","42","-0.8","5.61","109","150","121","150","281","310","289"
"66",606303,"Joel Payamps","66","100.0","0.308","0.000","0.400","0.308","0.348","0.495","0.363","4","13","85.0","14.0","2431","87.9","87.33","5","22","44","-0.6","5.85","109","152","124","152","301","323","298"
"66",660623,"Huascar Ynoa","66","100.0","0.400","0.333","0.455","0.733","0.486","0.382","0.309","6","15","91.1","6.9","2375","93.4","92.86","7","29","37","-0.5","5.87","112","147","110","150","307","322","294"
